Empleado,Fecha,Entrada,Salida,Hrs,Dia_Libre
1,2026-01-05,,,0,YES
1,2026-01-06,9:00,16:00,7,NO
1,2026-01-07,,,0,YES
1,2026-01-08,9:00,16:00,7,NO
1,2026-01-09,9:00,16:00,7,NO
1,2026-01-10,9:00,16:00,7,NO
1,2026-01-11,9:00,16:00,7,NO
2,2026-01-05,9:00,16:00,7,NO
2,2026-01-06,,,0,YES
2,2026-01-07,9:00,16:00,7,NO
2,2026-01-08,,,0,YES
2,2026-01-09,9:00,16:00,7,NO
2,2026-01-10,9:00,16:00,7,NO
2,2026-01-11,9:00,16:00,7,NO
3,2026-01-05,9:00,16:00,7,NO
3,2026-01-06,9:00,16:00,7,NO
3,2026-01-07,,,0,YES
3,2026-01-08,9:00,16:00,7,NO
3,2026-01-09,,,0,YES
3,2026-01-10,9:00,16:00,7,NO
3,2026-01-11,9:00,16:00,7,NO
4,2026-01-05,9:00,16:00,7,NO
4,2026-01-06,9:00,16:00,7,NO
4,2026-01-07,9:00,16:00,7,NO
4,2026-01-08,,,0,YES
4,2026-01-09,9:00,16:00,7,NO
4,2026-01-10,,,0,YES
4,2026-01-11,9:00,16:00,7,NO
5,2026-01-05,9:00,16:00,7,NO
5,2026-01-06,9:00,16:00,7,NO
5,2026-01-07,9:00,16:00,7,NO
5,2026-01-08,9:00,16:00,7,NO
5,2026-01-09,,,0,YES
5,2026-01-10,9:00,16:00,7,NO
5,2026-01-11,,,0,YES
6,2026-01-05,,,0,YES
6,2026-01-06,9:00,16:00,7,NO
6,2026-01-07,9:00,16:00,7,NO
6,2026-01-08,9:00,16:00,7,NO
6,2026-01-09,9:00,16:00,7,NO
6,2026-01-10,,,0,YES
6,2026-01-11,9:00,16:00,7,NO
7,2026-01-05,9:00,16:00,7,NO
7,2026-01-06,,,0,YES
7,2026-01-07,9:00,16:00,7,NO
7,2026-01-08,9:00,16:00,7,NO
7,2026-01-09,9:00,16:00,7,NO
7,2026-01-10,9:00,16:00,7,NO
7,2026-01-11,,,0,YES
8,2026-01-05,,,0,YES
8,2026-01-06,9:00,16:00,7,NO
8,2026-01-07,,,0,YES
8,2026-01-08,9:00,16:00,7,NO
8,2026-01-09,9:00,16:00,7,NO
8,2026-01-10,9:00,16:00,7,NO
8,2026-01-11,9:00,16:00,7,NO
9,2026-01-05,9:00,16:00,7,NO
9,2026-01-06,,,0,YES
9,2026-01-07,9:00,16:00,7,NO
9,2026-01-08,,,0,YES
9,2026-01-09,9:00,16:00,7,NO
9,2026-01-10,9:00,16:00,7,NO
9,2026-01-11,9:00,16:00,7,NO
10,2026-01-05,9:00,16:00,7,NO
10,2026-01-06,9:00,16:00,7,NO
10,2026-01-07,,,0,YES
10,2026-01-08,9:00,16:00,7,NO
10,2026-01-09,,,0,YES
10,2026-01-10,9:00,16:00,7,NO
10,2026-01-11,9:00,16:00,7,NO
